step,front_roll_cur_deg,front_pitch_cur_deg,front_yaw_cur_deg,rear_roll_cur_deg,rear_pitch_cur_deg,rear_yaw_cur_deg,front_joint_cmd_0_deg,front_joint_cmd_1_deg,front_joint_cmd_2_deg,rear_joint_cmd_0_deg,rear_joint_cmd_1_deg,rear_joint_cmd_2_deg,front_q_ik_0_deg,front_q_ik_1_deg,front_q_ik_2_deg,rear_q_ik_0_deg,rear_q_ik_1_deg,rear_q_ik_2_deg,front_q_sim_0_deg,front_q_sim_1_deg,front_q_sim_2_deg,rear_q_sim_0_deg,rear_q_sim_1_deg,rear_q_sim_2_deg,front_residual_0,front_residual_1,front_residual_2,rear_residual_0,rear_residual_1,rear_residual_2,ik_error
30,-0.085561,0.085333,0.005597,0.041636,-0.012535,0.000193,0.0,0.0,0.0,0.0,0.0,0.0,0.169362,0.016372,-0.052602,0.020655,-0.010449,0.059444,-0.112033,0.00854,-0.044849,-0.032979,-0.015285,-0.02386,0.0,0.0,0.0,0.0,0.0,-0.0,
60,-0.085585,0.08495,0.005538,0.041801,-0.012724,0.000238,0.0,0.0,0.0,0.0,0.0,0.0,0.169083,0.01658,-0.052428,0.020474,-0.010515,0.059612,-0.11175,0.008278,-0.044908,-0.033223,-0.015274,-0.023924,0.0,0.0,-0.0,0.0,0.0,-0.0,
90,-0.08584,0.08538,0.005574,0.04174,-0.01276,4.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.169413,0.016563,-0.052805,0.020558,-0.010343,0.059698,-0.112222,0.008419,-0.045032,-0.033128,-0.015133,-0.024038,-0.0,0.0,0.0,-0.0,0.0,0.0,
120,-0.086167,0.085876,0.005739,0.04158,-0.012787,-0.000108,0.0,0.0,0.0,0.0,0.0,0.0,0.169722,0.016496,-0.053335,0.020622,-0.010132,0.059681,-0.112824,0.008519,-0.045082,-0.032999,-0.01496,-0.02408,0.0,0.0,-0.0,0.0,-0.0,-0.0,
150,-0.086486,0.086466,0.005783,0.041561,-0.012837,-0.000272,0.0,0.0,0.0,0.0,0.0,0.0,0.170178,0.016455,-0.053827,0.020676,-0.010004,0.059783,-0.113453,0.008727,-0.045233,-0.032964,-0.014848,-0.024196,-0.0,0.0,0.0,-0.0,-0.0,-0.0,
180,-0.086921,0.08721,0.005769,0.041604,-0.012911,-0.000455,0.0,0.0,0.0,0.0,0.0,0.0,0.170792,0.016466,-0.054431,0.020721,-0.009899,0.059949,-0.11422,0.009002,-0.045485,-0.03296,-0.014742,-0.024372,-0.0,0.0,-0.0,0.0,-0.0,0.0,
210,-0.087353,0.088,0.005765,0.041621,-0.012999,-0.000723,0.0,0.0,0.0,0.0,0.0,0.0,0.171439,0.01645,-0.055057,0.020804,-0.00972,0.060152,-0.115029,0.009311,-0.045738,-0.032918,-0.014581,-0.024602,0.0,0.0,-0.0,0.0,0.0,-0.0,
240,-0.087802,0.088905,0.005639,0.04164,-0.013094,-0.001072,0.0,0.0,0.0,0.0,0.0,0.0,0.17225,0.016469,-0.055671,0.020928,-0.009493,0.060406,-0.115876,0.009745,-0.046097,-0.032852,-0.014384,-0.024892,0.0,0.0,-0.0,0.0,0.0,-0.0,
270,-0.088307,0.089842,0.00542,0.041588,-0.013135,-0.001532,0.0,0.0,0.0,0.0,0.0,0.0,0.173141,0.016568,-0.056285,0.02116,-0.009173,0.060651,-0.116742,0.010205,-0.046566,-0.032665,-0.014142,-0.025254,0.0,0.0,0.0,-0.0,0.0,0.0,
300,-0.089139,0.091978,0.006098,0.041924,-0.01316,-0.002404,0.0,0.0,0.0,0.0,0.0,0.0,0.174491,0.01589,-0.058139,0.021642,-0.008897,0.061402,-0.119018,0.010963,-0.046495,-0.032525,-0.013973,-0.026151,-0.0,0.0,-0.0,0.0,0.0,-0.0,
330,-0.090306,0.09491,0.005345,0.042058,-0.01333,-0.003301,0.0,0.0,0.0,0.0,0.0,0.0,0.177318,0.015948,-0.059728,0.022021,-0.008404,0.062084,-0.121458,0.012652,-0.047776,-0.032359,-0.01355,-0.02697,-0.0,-0.0,-0.0,0.0,0.0,0.0,
360,-0.090321,0.092172,0.006573,0.042559,-0.014075,-0.003119,0.0,0.0,0.0,0.0,0.0,0.0,0.174374,0.016373,-0.059329,0.021308,-0.008561,0.062638,-0.12003,0.010205,-0.04679,-0.03325,-0.013382,-0.027098,0.0,0.0,-0.0,-0.0,-0.0,-0.0,
390,-0.089321,0.08883,0.006786,0.042159,-0.01425,-0.002758,0.0,0.0,0.0,0.0,0.0,0.0,0.171524,0.016911,-0.057378,0.020957,-0.008415,0.062217,-0.117175,0.008336,-0.046033,-0.033281,-0.013181,-0.026575,-0.0,0.0,0.0,0.0,0.0,0.0,
420,-0.088041,0.084194,0.0069,0.041845,-0.014464,-0.00202,0.0,0.0,0.0,0.0,0.0,0.0,0.167676,0.01784,-0.054642,0.020356,-0.008532,0.061657,-0.113201,0.005756,-0.045185,-0.033555,-0.013143,-0.025797,0.0,0.0,-0.0,0.0,0.0,0.0,
450,-0.087903,0.06701,0.002441,0.050804,-0.018042,0.002021,0.0,0.0,0.0,0.0,0.0,0.0,0.156225,0.027346,-0.044941,0.0151,-0.015746,0.06712,-0.099141,-0.004482,-0.04874,-0.042902,-0.017446,-0.027677,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
480,-0.08278,0.061313,-0.002014,0.04982,-0.015617,0.001334,0.0,0.0,0.0,0.0,0.0,0.0,0.154155,0.028626,-0.036415,0.017478,-0.015641,0.06583,-0.090326,-0.003713,-0.049435,-0.040342,-0.018322,-0.02766,-0.0,0.0,-0.0,-0.0,0.0,-0.0,
510,-0.094656,0.044535,0.002271,0.054976,-0.018235,0.002149,0.0,0.0,0.0,0.0,0.0,0.0,0.13797,0.041414,-0.040429,0.014867,-0.018693,0.070074,-0.087044,-0.024184,-0.052782,-0.045496,-0.019789,-0.029971,-0.0,0.0,0.0,-0.0,0.0,0.0,
540,-0.088893,0.063343,0.002896,0.044156,-0.013178,-0.000701,0.0,0.0,0.0,0.0,0.0,0.0,0.152967,0.029284,-0.044404,0.020645,-0.011453,0.062005,-0.097283,-0.007823,-0.04896,-0.034515,-0.015935,-0.02606,-0.0,0.0,0.0,0.0,0.0,0.0,
570,-0.085019,0.072326,0.003316,0.040046,-0.011465,-0.001864,0.0,0.0,0.0,0.0,0.0,0.0,0.160062,0.022629,-0.045581,0.022715,-0.008572,0.059071,-0.101573,0.000601,-0.04639,-0.030471,-0.014285,-0.024622,-0.0,0.0,-0.0,0.0,0.0,0.0,
600,-0.083484,0.07528,0.002272,0.039729,-0.011439,-0.001779,0.0,0.0,0.0,0.0,0.0,0.0,0.163078,0.020937,-0.045101,0.022688,-0.008407,0.058787,-0.102362,0.004007,-0.046353,-0.030296,-0.014157,-0.02437,0.0,0.0,-0.0,0.0,0.0,-0.0,
630,-0.083235,0.075961,0.002061,0.039873,-0.011489,-0.001736,0.0,0.0,0.0,0.0,0.0,0.0,0.163757,0.020603,-0.045081,0.022622,-0.008513,0.058884,-0.102613,0.004718,-0.04639,-0.030426,-0.01424,-0.024425,-0.0,0.0,0.0,-0.0,-0.0,-0.0,
660,-0.082993,0.076425,0.001817,0.040026,-0.011534,-0.001664,0.0,0.0,0.0,0.0,0.0,0.0,0.164277,0.020384,-0.044959,0.022543,-0.008645,0.058969,-0.102702,0.005288,-0.046449,-0.030582,-0.014318,-0.024454,-0.0,-0.0,-0.0,0.0,0.0,0.0,
690,-0.082844,0.076682,0.001632,0.040167,-0.011594,-0.001623,0.0,0.0,0.0,0.0,0.0,0.0,0.164594,0.02028,-0.044852,0.022471,-0.008744,0.05907,-0.102718,0.005623,-0.046515,-0.030719,-0.01437,-0.024499,-0.0,-0.0,-0.0,0.0,0.0,-0.0,
720,-0.082679,0.077008,0.001544,0.040209,-0.011577,-0.001604,0.0,0.0,0.0,0.0,0.0,0.0,0.164911,0.02008,-0.044817,0.022474,-0.008792,0.059081,-0.102824,0.005985,-0.046495,-0.030742,-0.014418,-0.024511,0.0,0.0,0.0,0.0,0.0,0.0,
750,-0.082635,0.07707,0.001547,0.040225,-0.011555,-0.001612,0.0,0.0,0.0,0.0,0.0,0.0,0.16496,0.020022,-0.044814,0.022496,-0.008807,0.059088,-0.102846,0.006058,-0.046464,-0.030733,-0.01444,-0.024524,-0.0,0.0,0.0,0.0,-0.0,-0.0,
780,-0.08261,0.077094,0.001535,0.040236,-0.011576,-0.001607,0.0,0.0,0.0,0.0,0.0,0.0,0.164986,0.020001,-0.044799,0.022476,-0.008809,0.059101,-0.102837,0.00609,-0.046461,-0.030758,-0.01443,-0.024525,0.0,0.0,-0.0,0.0,-0.0,-0.0,
810,-0.082579,0.077176,0.001528,0.040244,-0.011568,-0.001611,0.0,0.0,0.0,0.0,0.0,0.0,0.165058,0.01995,-0.044806,0.022486,-0.008816,0.059106,-0.102873,0.006169,-0.046443,-0.030753,-0.014439,-0.024535,0.0,0.0,-0.0,-0.0,0.0,-0.0,
840,-0.082577,0.077171,0.001509,0.040243,-0.011559,-0.001618,0.0,0.0,0.0,0.0,0.0,0.0,0.165065,0.019962,-0.044792,0.022497,-0.008815,0.059107,-0.102863,0.006183,-0.046467,-0.030744,-0.014442,-0.024533,0.0,0.0,0.0,0.0,-0.0,0.0,
870,-0.082591,0.077153,0.001521,0.040242,-0.011545,-0.001605,0.0,0.0,0.0,0.0,0.0,0.0,0.165043,0.019972,-0.044801,0.022501,-0.008827,0.059093,-0.102871,0.006157,-0.046459,-0.030744,-0.014444,-0.024523,0.0,0.0,-0.0,0.0,0.0,-0.0,
